Antiguedad_Meses,Score_Satisfaccion,Productos_Activos,Balance_Cuenta,Transacciones_Mes,Target_Churn
51,4,3,8083.372981130977,9,0
7,5,1,4359.980867069311,13,0
101,5,4,4024.6790807790817,11,0
114,3,2,76.11183815222194,14,0
52,2,1,6374.806518873004,19,0
9,1,3,5402.889826540074,14,0
22,4,2,6852.6825239102545,10,0
104,1,2,2327.250864719841,8,0
75,3,2,2169.230359889206,12,0
34,4,2,6430.051121855635,14,0
82,4,1,6275.484773980937,14,0
109,3,4,6432.682751261401,15,0
83,3,3,6070.539248984605,7,0
34,1,1,2843.399604358263,11,0
27,1,4,6202.916908090549,12,0
45,2,4,9923.578919020769,12,0
53,5,4,6697.057283432977,12,0
12,4,3,6427.966081030279,9,0
82,2,1,3663.1033776910263,9,0
54,3,4,11862.235187479127,3,0
49,5,3,6220.740528846833,5,0
58,2,3,11402.382929695053,16,0
111,1,3,4580.747224897635,9,1
86,5,2,4537.618307169947,5,0
118,3,1,11110.26573707527,8,0
27,5,1,2597.38153403507,10,0
111,1,4,1346.962350185624,8,0
6,1,2,4760.0624428450155,17,0
57,5,2,2328.6171114605963,10,0
61,5,1,8293.294877715007,10,0
88,3,4,8886.78140493084,15,0
105,5,4,6101.080297176937,14,0
11,3,4,6360.735832827237,10,0
96,5,4,3791.5728130014004,14,0
42,2,4,1898.0500178773332,9,0
17,1,1,1608.718540604842,8,1
85,3,2,2173.08471065698,13,0
83,2,2,204.21364145979896,9,0
108,5,3,1496.298198441351,8,0
96,1,3,8190.658784984487,7,0
22,5,1,12259.18035491814,18,0
8,2,4,0.0,20,0
96,4,2,1324.2626448385258,9,0
30,5,1,6565.347588985187,10,0
116,2,3,6547.887922437754,14,0
50,2,3,4405.834662232065,11,0
81,5,4,2744.8608491264663,13,0
119,1,4,1127.0681769663656,14,0
42,3,4,4809.409415089763,5,0
14,1,3,2052.794929507522,10,1
92,1,3,6547.174139506307,14,0
30,1,4,0.0,17,0
34,5,4,0.0,12,0
81,3,2,12709.944074157269,10,0
43,4,1,9188.258376848231,17,0
28,2,3,4490.934448108677,9,0
48,2,1,6475.781309356427,10,0
82,1,3,2199.955873090952,9,0
37,3,2,0.0,16,0
72,4,2,2059.485360572959,11,0
84,1,4,8827.888381328348,11,1
16,1,2,0.0,14,0
117,5,1,7185.718748710748,7,0
65,5,1,8876.801796240192,9,0
103,3,4,1983.9114275004104,16,0
102,1,2,11749.767181271476,11,0
82,1,4,4073.4141191553936,9,0
60,5,2,0.0,9,0
30,1,2,3186.3419893869304,11,0
52,1,4,5936.526309808012,10,0
108,4,4,4722.824862120108,9,0
20,4,3,0.0,12,0
103,3,2,8924.098293070201,20,0
114,1,4,2631.2078981454692,10,1
113,1,2,7772.5024154145685,15,0
25,3,1,2142.406460935682,14,0
62,3,3,9570.49700084661,14,0
60,3,4,3476.9020244275225,15,0
55,1,1,10665.015708482182,13,0
53,5,2,7766.032615245758,12,0
98,1,3,2714.3479181428866,12,0
45,1,3,13562.160817601158,10,0
66,1,3,1710.881504808609,16,0
18,3,4,12377.904849593488,10,0
103,2,2,10875.68323280291,10,0
28,2,2,0.0,11,0
112,5,2,3682.948593745061,10,0
18,3,1,3263.263442120791,14,0
41,3,1,7333.102329754061,11,0
104,4,4,0.0,4,0
52,4,1,14139.005299308616,13,0
65,1,3,8973.161889761559,20,0
109,4,4,9878.803245722354,16,0
71,3,3,2427.2468272164824,13,0
24,5,1,5124.06351056854,14,0
19,5,1,4759.62161644493,12,0
100,5,4,2387.932204323398,13,0
88,3,1,0.0,14,0
68,3,1,16185.021082950178,11,0
83,2,2,4634.3799939753435,14,0
104,3,3,4304.71147101807,12,0
78,1,3,8480.39780000327,7,1
43,4,2,6290.398602276482,10,0
9,1,1,3704.083453343452,14,1
43,4,3,7799.882803402821,9,0
107,1,4,11742.155203470227,14,1
55,5,1,4628.366213128308,10,0
89,3,2,0.0,11,0
109,3,2,6296.608300108792,20,0
82,2,1,9194.27376881431,12,0
25,1,4,0.0,19,0
24,2,2,3168.878833512099,7,0
28,2,3,0.0,18,0
35,5,4,9075.778177632414,18,0
104,3,4,4318.702471262731,17,0
70,5,4,2485.276702869423,14,0
14,1,4,684.4202666906567,16,0
15,3,2,5127.90505379943,9,0
55,4,1,9092.790687782399,7,0
102,3,2,0.0,11,0
114,4,3,11126.847275750824,16,0
108,2,3,9113.506672766083,10,0
85,4,2,4161.879959940452,11,0
28,5,2,0.0,12,0
6,3,3,0.0,3,0
96,3,1,4203.477317745348,12,0
15,1,2,5711.676227845025,19,0
46,3,2,3530.6672179083357,8,0
13,4,4,6925.288998500568,13,0
115,4,2,5501.821898301077,9,0
51,1,3,0.0,10,0
74,2,1,3308.531825330627,14,1
20,3,4,8227.94941260166,11,0
116,4,3,8003.561862716828,19,0
16,4,1,10385.747388114498,9,0
78,2,3,3831.0281685881346,6,0
9,5,4,3008.5113388094815,14,0
89,5,1,8133.289484819791,6,0
89,5,1,7223.013222050675,16,0
94,4,1,1834.2269355007102,12,0
43,4,1,1448.3467196510082,14,0
93,4,2,4396.06801584381,15,0
76,5,1,7828.315559126851,20,0
96,1,3,9159.083920426678,7,0
29,2,2,4290.424441438553,13,0
47,3,2,0.0,11,0
95,4,2,12647.965108699329,9,0
52,3,2,2185.7141922788182,15,0
85,5,1,909.4172411627214,13,0
10,3,1,7410.39049978332,16,0
113,3,3,0.0,20,0
20,4,3,8458.012585845492,8,0
33,3,4,1032.7491710299164,8,0
39,4,1,205.4196961761263,10,0
112,3,1,2284.5896105659417,15,0
11,3,3,8940.861299973065,10,0
61,4,4,4596.9725436223025,10,0
28,3,1,0.0,17,0
24,4,4,2446.654128906166,8,0
61,2,3,7065.025074813018,16,0
88,3,2,876.1575829656758,17,1
93,1,4,5149.248733121261,8,0
58,2,3,5110.917099683862,12,0
61,2,4,0.0,13,0
93,2,3,3855.5378216493364,13,0
108,4,4,658.6826935727186,18,0
108,1,4,0.0,12,0
13,4,2,10338.271793956334,7,0
116,3,3,1369.0362954887228,13,0
19,5,1,2639.8433602524174,14,0
37,4,4,8448.164976317343,9,0
104,1,4,5879.6199298552265,14,0
58,5,2,9618.055198668848,4,0
22,4,3,913.6505250100713,14,0
97,4,3,7837.564886099768,12,0
113,2,3,10392.39238298087,14,0
77,3,1,1362.3873417144396,11,0
86,5,3,1448.5607075617672,6,0
73,5,4,2056.2047357063116,8,0
68,4,3,3546.659194068987,5,0
113,2,1,424.7980923750856,16,0
60,2,2,10420.900503479841,8,0
82,3,3,2848.23639520405,13,0
19,4,2,6286.839978147374,16,0
83,4,1,11558.709682551234,12,0
101,4,4,2837.2472331020504,17,0
95,2,4,647.7162321890974,18,0
55,2,2,10540.835753352654,8,0
42,4,4,4676.1856232049595,16,0
95,4,1,9768.660617580725,11,0
68,5,2,0.0,9,0
48,4,3,9198.927262734669,14,0
7,2,3,0.0,7,0
13,1,4,6533.556222383401,10,0
11,4,2,0.0,10,0
110,5,4,8722.055754361949,13,0
54,3,2,4788.903979537043,12,0
74,2,4,3293.274407061903,17,0
21,3,3,8157.356597900873,17,0
14,2,1,4506.207544038459,21,0
86,3,4,8954.153388735549,9,0
109,4,3,4760.5593061932195,10,0
14,3,1,6155.027830902284,6,0
20,2,4,2860.8839210319998,10,0
102,4,3,9902.888315638174,19,0
63,2,3,5527.894795377947,7,0
30,1,4,9117.771164734993,9,0
8,5,3,5383.584486857208,14,0
61,3,4,6726.594301060991,14,0
28,3,1,9866.513256289993,4,0
94,3,2,10667.992033363696,17,0
16,5,1,2424.872454085829,13,0
54,5,2,3317.305080296269,10,0
97,3,3,5021.887452797016,11,0
68,1,2,5066.726822662729,8,1
89,4,4,3394.8913669539816,15,0
43,3,4,2498.955785059332,8,0
97,3,2,7341.374853420484,13,0
97,2,1,6848.888897889512,9,0
102,5,2,3689.5660175734874,14,0
63,3,2,12939.578140429518,15,0
42,5,3,3225.174978707492,13,0
114,2,1,7089.237969901366,10,1
49,2,3,7523.905814344656,8,0
103,2,4,7426.580538397207,10,0
79,5,3,2102.505514689307,17,0
91,4,3,0.0,9,0
54,4,2,10952.430828989312,7,0
22,5,3,5016.3135593511615,6,0
24,2,4,4061.7062091841253,11,0
52,1,3,5246.163952423356,9,0
38,2,3,7258.569331915716,12,0
87,4,2,2727.374524464371,16,0
25,1,1,2865.139972497445,6,1
101,1,3,3102.918988080741,11,0
70,1,4,7226.670021737893,18,0
14,2,2,11237.129153775088,8,0
105,2,3,0.0,18,0
87,4,4,5539.655473710548,17,0
95,1,3,3941.5754546831777,12,0
63,5,2,2051.579217947513,16,0
76,4,1,7205.204265623485,20,0
29,5,3,2523.553778915504,13,0
79,5,4,9002.706655490892,13,0
79,1,2,3057.7015412086844,11,0
40,3,1,7409.541057113247,5,0
90,2,1,6939.717087203738,10,0
54,4,3,4341.956174874468,11,0
54,2,3,2556.7716117848677,15,0
108,2,1,16291.122513168308,12,1
30,1,4,13528.029769875378,15,0
82,2,4,11691.304380471032,18,0
28,5,1,10020.302508856246,16,0
97,3,2,1505.6280988473359,7,0
42,1,2,0.0,10,0
115,1,3,4416.458886355227,13,0
104,4,2,2132.477201494025,11,0
54,5,2,5967.856360638205,8,0
42,3,1,3185.2694561402864,12,0
91,3,1,3753.84925008876,10,1
45,2,3,7024.760558289709,6,0
33,1,4,6576.707231576361,10,1
42,5,3,6001.910075623639,6,0
75,4,3,4736.5458994235905,15,0
80,5,3,4829.472694182286,11,0
57,2,3,9478.142757181016,7,0
46,1,2,5310.888174456526,7,0
93,5,1,5537.5246445840185,17,0
119,4,3,7429.201356208945,20,0
82,3,1,10199.265073267356,10,1
80,2,3,4164.091027420453,15,0
88,2,4,2642.594954198955,15,0
112,1,4,2305.878329295875,10,1
86,1,2,17212.482195963566,12,0
27,3,4,7167.179281177703,11,0
97,5,2,1796.3474021805991,11,0
111,4,3,4033.015334492391,14,0
110,3,1,13206.976357161231,10,0
93,3,1,6319.494597218556,16,0
38,2,1,8435.824964406525,17,0
63,3,4,10017.605560905187,10,0
35,3,4,3634.6497338254367,11,0
64,2,3,4147.85176785132,9,0
102,2,3,2201.8363294812543,17,0
104,4,4,2545.216202269293,7,0
40,4,1,9749.137097264425,23,0
23,1,3,14043.585685552092,16,0
27,5,2,1137.4244708888928,18,0
27,1,4,4838.893377168959,12,0
51,1,1,2063.477400744664,12,0
118,4,2,5931.647532816083,11,0
92,1,3,3140.580934887125,13,0
13,3,1,1252.4708439611886,15,0
64,3,1,8800.857978919497,7,0
81,1,4,7760.253867264284,16,0
53,3,1,3314.9149635658155,15,0
62,5,2,10979.191147533918,8,0
46,1,2,7914.091875835433,13,0
118,1,3,7471.231506748932,10,1
91,2,1,10333.657468752597,10,1
38,4,2,6376.9217726867255,8,0
85,2,1,4905.28989175913,15,0
84,5,1,7742.908849936581,11,0
77,5,1,7663.725598904113,11,0
92,4,1,3173.0717650383913,17,0
69,4,2,5862.132494475669,7,0
55,4,2,6933.566900234829,13,0
48,3,2,2095.681756966746,7,1
72,1,3,17576.12199409018,7,0
100,3,2,4984.902663766813,11,0
119,1,2,10199.228170007944,8,1
72,4,2,5851.147648051493,11,0
24,4,4,11004.222553778565,14,0
23,2,1,7646.692872810907,12,0
50,3,1,2232.3101053749856,16,1
117,2,2,3387.4969955544047,11,0
52,4,3,3876.5781607694453,6,0
22,3,2,10429.60935461739,22,0
41,3,3,0.0,12,0
69,1,3,5680.2244356248575,11,1
20,2,1,9275.0960571676,9,0
67,5,1,9626.876727314753,14,0
48,1,3,2872.63697108575,13,0
10,2,2,1597.8521607975567,11,1
87,1,4,10275.656177668396,10,0
35,1,4,6771.113946768011,7,1
47,3,2,3035.425383351536,12,0
115,2,1,6175.162121993274,11,0
17,2,3,0.0,12,0
90,4,1,4737.156932305742,6,0
113,1,4,6864.682007647267,9,0
88,1,1,6452.153064306561,18,0
75,4,1,0.0,6,0
57,3,1,3836.0785447797407,11,0
106,4,2,5718.497776470842,23,0
89,2,2,7722.227634334585,9,0
52,5,2,2966.692143058982,8,0
22,4,2,8421.37894390576,10,0
100,3,3,5362.105455609015,10,0
57,2,1,6340.268511492882,10,0
78,2,2,3847.298777335256,8,1
15,1,3,272.58762332827155,8,1
25,4,1,0.0,8,0
56,5,4,7348.203423857342,13,0
78,3,4,1768.6779056883324,11,0
24,3,2,3620.6841037132835,10,0
113,3,4,5228.223220169032,12,0
91,3,2,6314.614262201785,15,0
98,5,3,6453.677298183806,10,0
68,5,3,3202.293818370609,10,0
30,2,3,3932.1674301133,8,0
55,2,2,1245.4562028621676,17,0
18,1,2,1983.320107236802,12,0
47,5,4,9559.051230321862,12,0
13,1,3,2338.8946240103264,18,0
16,4,1,5024.469291410186,11,0
73,2,1,8615.147406748376,12,1
35,3,4,1985.560576960008,10,0
45,1,4,5979.831033164785,10,0
111,2,4,12448.477925675863,13,0
114,3,4,0.0,11,0
19,1,2,5982.822568255982,20,0
16,4,1,5079.655149214148,10,0
43,4,4,13070.88118828375,11,0
68,1,4,13571.127185459254,13,0
25,5,2,7161.223186136874,9,0
41,1,4,6062.310690700259,16,0
80,5,4,12067.362985009484,12,0
73,3,2,9117.074609834455,12,0
60,4,2,8977.475966864271,12,0
90,5,2,3637.7450659955775,15,0
73,2,3,4555.067086036924,10,0
62,1,4,6085.856549576403,7,0
55,1,3,0.0,9,1
41,4,1,2625.622638978348,11,0
48,4,1,7176.970590853061,15,0
29,4,3,434.67156836626145,12,0
59,2,1,0.0,12,0
72,3,3,75.32179937999899,10,0
119,1,4,6739.001714451237,9,0
107,3,2,2837.042874542803,19,0
35,1,2,9385.247125464317,23,0
10,3,1,3838.2961717404983,6,0
12,1,4,2367.01506521034,13,0
19,5,4,4432.54799755832,18,0
60,4,1,6461.531707369368,15,0
19,1,1,2073.753476785503,12,0
59,1,3,0.0,9,0
76,1,4,185.39289543321502,11,0
15,2,4,168.39652888710407,14,0
60,2,1,4337.326750422733,9,0
43,1,1,8701.033123130062,8,1
66,4,4,9446.103213953027,12,0
116,4,4,4788.738368288018,8,0
6,4,3,7039.389059967781,11,0
30,5,2,2827.1477756682466,12,0
33,5,3,7834.954172182148,16,0
31,3,4,7569.095508241064,10,0
51,2,2,12182.451441467272,11,1
8,4,3,2755.9980867463114,6,0
33,1,2,6432.876298285354,11,1
103,1,1,4867.438877960533,14,0
18,3,2,2807.7222102191386,9,0
16,4,1,5766.319123914505,15,0
62,3,4,3853.9204926450657,13,0
15,5,1,1087.8884880325013,12,0
60,1,4,0.0,10,0
45,5,3,6517.592685501887,12,0
98,5,1,0.0,14,0
103,5,2,6681.640883761196,15,0
16,1,1,4314.783970911489,13,0
76,3,3,10420.80643670412,17,0
47,1,3,1972.703990140541,4,0
98,2,2,11819.732966318013,16,0
108,5,4,5301.790817740573,14,0
71,3,3,6035.577505550749,12,0
20,5,3,8488.559086918553,8,0
44,1,2,7676.601814356112,11,1
30,4,2,7741.669685432673,9,0
60,4,4,4840.233760212699,14,0
109,5,3,5034.692872780466,19,0
25,5,2,3245.164405986953,11,0
35,3,3,8184.279480308458,15,0
108,4,2,7080.187318638558,7,0
26,1,1,2475.0994384985956,16,0
115,3,4,8467.015916024026,12,0
65,4,3,1365.5990430583197,9,0
89,3,2,7845.530728227925,16,0
31,5,3,2037.603397797071,11,0
111,4,4,3257.4996957410367,10,0
46,5,3,3440.9400460225347,15,0
118,5,2,5562.713016387688,15,0
48,2,1,7866.839931769022,13,0
95,2,4,0.0,13,0
76,5,4,0.0,18,0
58,2,2,6077.058598961754,12,0
116,2,1,6136.6037200436485,8,0
44,1,2,4625.714430923502,10,0
109,4,3,802.0423052356091,12,0
107,2,4,4545.089015644228,14,0
110,5,2,0.0,8,0
82,5,3,8480.774335111291,16,0
8,1,4,11999.263688040244,14,0
114,1,4,5180.832981600979,10,0
112,2,4,9951.1452944878,12,0
77,3,3,7235.850979612878,15,0
70,2,3,7679.989418653464,8,0
32,1,2,454.0430386814087,18,0
46,5,1,7011.373761019656,14,0
53,2,2,5597.503632114565,8,0
6,3,2,2503.6192633053815,10,0
96,2,1,0.0,12,0
17,5,3,9945.775276917404,11,0
35,5,3,4672.909206668369,10,0
88,2,2,7934.822961237163,14,0
74,5,3,3253.1956148345976,10,0
86,5,4,0.0,12,0
111,4,3,4224.633907814012,15,0
75,2,3,4890.363057152051,15,0
83,2,2,10059.665430886904,19,0
93,5,2,908.643371878697,12,0
57,1,1,1581.6399352879994,8,0
54,3,3,4236.083377762606,19,0
75,5,1,7509.367988393118,20,0
68,4,3,490.4755303287993,10,0
58,4,2,7388.678016994729,16,0
77,5,1,7557.473023963197,9,0
105,5,4,0.0,21,0
49,2,2,7885.983432009127,17,0
56,4,1,3089.5178253658482,6,0
70,4,2,12887.910752053964,8,0
34,2,4,3939.9926157661375,8,0
109,1,3,3923.7168647345834,16,0
77,5,2,3523.5549553221535,10,0
90,5,2,6402.782262704145,16,0
34,5,1,6295.649449887245,15,0
75,5,2,7964.864610806384,9,0
58,2,1,7830.231004176565,8,0
17,3,4,6997.368538417242,8,0
56,4,1,4511.59132744571,10,0
17,4,4,13193.08401979236,12,0
22,5,4,8846.167577068067,21,0
30,3,1,3412.0435679661323,12,0
65,5,4,1631.07219906837,12,0
36,1,2,13600.619802365809,12,0
88,5,2,8451.574523430725,6,0
90,5,1,4945.0487679202715,13,0
117,2,3,0.0,13,0
113,1,1,0.0,9,0
55,1,3,2035.7639192862807,11,0
16,3,3,4037.494909137792,15,0
16,1,1,1132.8865462897988,13,0
113,1,3,6558.995007797694,16,0
107,2,2,5449.400951318964,6,0
88,1,2,1724.5801555977391,17,0
74,5,3,3922.214849209963,19,0
23,4,2,5165.869458519272,12,0
8,1,2,12100.53163249958,9,0
106,3,1,2291.390259970111,9,0
35,4,3,12522.157931589638,6,0
109,1,1,1515.7003993909875,10,0
100,1,1,586.0920612466916,11,1
28,5,1,3946.386139157383,12,0
18,5,4,4437.334444552215,14,0
15,4,4,0.0,13,0
13,1,4,7204.99204512868,13,1
83,5,2,4762.166778288291,17,0
15,4,3,4455.62851181358,11,0
61,2,1,9844.731857385457,8,0
71,1,2,9402.80738835632,7,1
50,3,2,3646.4206204855673,16,0
105,1,3,14002.848432571596,14,1
117,1,4,7922.570887262262,13,0
67,2,4,3842.7428933178903,12,0
97,5,2,4939.824457055644,5,0
23,1,2,3648.640627416316,16,0
